iter	Logloss
0	0.5569114903
1	0.4578450766
2	0.3989222299
3	0.3425964419
4	0.3069192104
5	0.2797538313
6	0.2522062755
7	0.229558632
8	0.2136144811
9	0.2051657517
10	0.1954068169
11	0.1852933023
12	0.1773940713
13	0.1724158804
14	0.167867008
15	0.1618800066
16	0.1569953765
17	0.1529105049
18	0.1491305822
19	0.144799508
20	0.1402369686
21	0.1362409737
22	0.1329764158
23	0.1300739539
24	0.1266861057
25	0.1239340513
26	0.1208668077
27	0.1187430115
28	0.1169146688
29	0.1144672023
30	0.113119738
31	0.1103240011
32	0.1087648154
33	0.1071725199
34	0.1048655373
35	0.1030676188
36	0.101651272
37	0.09967752256
38	0.09786813242
39	0.09634676758
40	0.09481853878
41	0.09388940399
42	0.09190048681
43	0.08997053278
44	0.08835070584
45	0.08746611752
46	0.08658986249
47	0.08531315339
48	0.08417520435
49	0.08295623766
50	0.08107569645
51	0.08001391678
52	0.07898181668
53	0.07788154905
54	0.07660290923
55	0.07589778831
56	0.07490878286
57	0.07398132733
58	0.07327612346
59	0.07255826653
60	0.07187510295
61	0.07121681521
62	0.07002725086
63	0.06921125751
64	0.06862210205
65	0.0677244609
66	0.06663591363
67	0.06531044848
68	0.06449466941
69	0.06385761599
70	0.06265687779
71	0.06181924795
72	0.0611853179
73	0.06040446958
74	0.05985183758
75	0.05878745702
76	0.05804849891
77	0.05757320724
78	0.05689897925
79	0.05593587387
80	0.05533182118
81	0.05454841503
82	0.05387399813
83	0.05323747451
84	0.05227810347
85	0.05168477475
86	0.0511751652
87	0.05069209716
88	0.05031288869
89	0.0497344928
90	0.04895937303
91	0.04840307911
92	0.04785237442
93	0.04708940574
94	0.04674350839
95	0.04623840891
96	0.04579136825
97	0.04551422838
98	0.04495536462
99	0.04451896561
100	0.04419176606
101	0.04376793998
102	0.0434022079
103	0.04314852245
104	0.04249573479
105	0.04210812351
106	0.04174207136
107	0.04135019949
108	0.04100214269
109	0.04069990994
110	0.04023599445
111	0.03987718223
112	0.0395330005
113	0.03929892976
114	0.03901533634
115	0.03878348477
116	0.0383508511
117	0.03811053082
118	0.03774854521
119	0.0373353905
120	0.0370123915
121	0.03682846991
122	0.03660871222
123	0.03622411058
124	0.03595288429
125	0.03570391829
126	0.03533847442
127	0.03505473768
128	0.03473220787
129	0.0343215234
130	0.03388863035
131	0.03362649947
132	0.03345541962
133	0.03331732329
134	0.03305537908
135	0.0327773313
136	0.03261467775
137	0.03209089832
138	0.03186431826
139	0.03173236874
140	0.03149072083
141	0.03118759076
142	0.03095818394
143	0.03073209094
144	0.03050743685
145	0.03022424465
146	0.0300307608
147	0.029691435
148	0.02948777606
149	0.02918110841
150	0.02908142086
151	0.0288231693
152	0.02854930873
153	0.02837859743
154	0.02820480082
155	0.02806001911
156	0.02773640839
157	0.02751731264
158	0.02735330798
159	0.02711729792
160	0.02699895595
161	0.02684611795
162	0.02674259538
163	0.02647555425
164	0.02625098641
165	0.02607868713
166	0.02595241178
167	0.02585426748
168	0.02559286065
169	0.02534596019
170	0.02523674269
171	0.02505986353
172	0.02473066449
173	0.02449338838
174	0.0243710079
175	0.02426531184
176	0.02413108156
177	0.02378712193
178	0.02367046647
179	0.02351102852
180	0.02327750957
181	0.0230563965
182	0.02293634431
183	0.02286028509
184	0.02272583845
185	0.02258069904
186	0.02244416195
187	0.02225988483
188	0.02216913336
189	0.02208474503
190	0.02195873789
191	0.02182795918
192	0.02164609822
193	0.02156250042
194	0.02140675231
195	0.02127049732
196	0.02113689325
197	0.02098919098
198	0.02090084056
199	0.02078114473
