iter	Passed	Remaining
539	5567	4742
540	5577	4732
541	5588	4722
542	5598	4712
543	5608	4701
544	5618	4690
545	5629	4680
546	5639	4670
547	5649	4659
548	5660	4650
549	5670	4639
550	5680	4628
551	5691	4618
552	5701	4608
553	5712	4598
554	5722	4588
555	5732	4577
556	5743	4567
557	5752	4557
558	5763	4546
559	5774	4536
560	5785	4527
561	5795	4516
562	5806	4507
563	5818	4497
564	5827	4486
565	5837	4476
566	5847	4465
567	5857	4455
568	5867	4444
569	5878	4434
570	5888	4423
571	5898	4413
572	5909	4403
573	5920	4393
574	5930	4383
575	5941	4373
576	5951	4362
577	5961	4352
578	5972	4342
579	5982	4332
580	5993	4322
581	6003	4311
582	6013	4301
583	6026	4293
584	6047	4289
585	6063	4283
586	6074	4273
587	6086	4264
588	6097	4254
589	6107	4244
590	6117	4233
591	6128	4223
592	6140	4214
593	6151	4204
594	6161	4193
595	6171	4183
596	6181	4172
597	6192	4162
598	6202	4151
599	6212	4141
600	6223	4131
601	6233	4121
602	6244	4110
603	6254	4100
604	6264	4089
605	6273	4079
606	6284	4068
607	6293	4057
608	6304	4047
609	6314	4037
610	6323	4026
611	6333	4015
612	6344	4005
613	6353	3994
614	6364	3984
615	6377	3975
616	6387	3964
617	6397	3954
618	6409	3944
619	6419	3934
620	6429	3924
621	6440	3914
622	6451	3904
623	6464	3895
624	6476	3885
625	6487	3875
626	6498	3866
627	6510	3856
628	6523	3847
629	6533	3837
630	6546	3828
631	6558	3818
632	6569	3809
633	6579	3798
634	6590	3788
635	6601	3778
636	6611	3767
637	6623	3758
638	6637	3749
639	6649	3740
640	6659	3729
641	6670	3719
642	6681	3709
643	6692	3699
644	6703	3689
645	6714	3679
646	6724	3669
647	6734	3658
648	6744	3647
649	6754	3637
650	6765	3626
651	6775	3616
652	6785	3605
653	6796	3595
654	6806	3585
655	6817	3575
656	6827	3564
657	6837	3554
658	6846	3542
659	6857	3532
660	6866	3521
661	6878	3511
662	6889	3501
663	6900	3491
664	6910	3481
665	6920	3470
666	6930	3460
667	6941	3450
668	6951	3439
669	6963	3429
670	6970	3417
671	6981	3407
672	6992	3397
673	7002	3386
674	7012	3376
675	7023	3366
676	7033	3355
677	7043	3345
678	7051	3333
679	7061	3323
680	7073	3313
681	7085	3303
682	7094	3292
683	7104	3282
684	7113	3271
685	7124	3261
686	7135	3251
687	7147	3241
688	7159	3231
689	7169	3221
690	7181	3211
691	7193	3201
692	7203	3191
693	7213	3180
694	7223	3170
695	7234	3159
696	7245	3149
697	7257	3139
698	7268	3129
699	7278	3119
700	7287	3108
701	7297	3097
702	7309	3087
703	7320	3077
704	7331	3067
705	7342	3057
706	7355	3048
707	7366	3038
708	7375	3027
709	7386	3017
710	7396	3006
711	7408	2996
712	7418	2986
713	7431	2976
714	7443	2966
715	7454	2956
716	7466	2947
717	7478	2937
718	7487	2926
719	7498	2916
720	7510	2906
721	7518	2895
722	7529	2884
723	7540	2874
724	7553	2864
725	7563	2854
726	7575	2844
727	7585	2834
728	7596	2823
729	7604	2812
730	7614	2802
731	7625	2791
732	7635	2781
733	7646	2770
734	7654	2759
735	7666	2749
736	7675	2739
737	7685	2728
738	7696	2718
739	7707	2708
740	7719	2698
741	7728	2687
742	7739	2676
743	7749	2666
744	7756	2655
745	7766	2644
746	7777	2634
747	7788	2623
748	7798	2613
749	7809	2603
750	7819	2592
751	7828	2581
752	7838	2571
753	7851	2561
754	7865	2552
755	7875	2541
756	7885	2531
757	7896	2520
758	7905	2510
759	7916	2500
760	7928	2490
761	7939	2479
762	7951	2469
763	7962	2459
764	7974	2449
765	7985	2439
766	7994	2428
767	8007	2419
768	8018	2408
769	8028	2398
770	8039	2387
771	8048	2377
772	8059	2366
773	8070	2356
774	8080	2346
775	8091	2335
776	8101	2325
777	8111	2314
778	8121	2304
779	8132	2293
780	8140	2282
781	8150	2272
782	8159	2261
783	8169	2250
784	8180	2240
785	8189	2229
786	8200	2219
787	8210	2208
788	8219	2198
789	8230	2187
790	8240	2177
791	8250	2166
792	8259	2156
793	8270	2145
794	8279	2135
795	8289	2124
796	8299	2113
797	8309	2103
798	8319	2092
799	8329	2082
800	8337	2071
801	8347	2060
802	8357	2050
803	8367	2039
804	8378	2029
805	8387	2018
806	8397	2008
807	8405	1997
808	8415	1986
809	8423	1975
810	8431	1964
811	8442	1954
812	8452	1944
813	8461	1933
814	8472	1923
815	8481	1912
816	8489	1901
817	8496	1890
818	8504	1879
819	8512	1868
820	8520	1857
821	8530	1847
822	8540	1836
823	8550	1826
824	8560	1815
825	8568	1804
826	8577	1794
827	8585	1783
828	8595	1773
829	8605	1762
830	8615	1752
831	8623	1741
832	8631	1730
833	8639	1719
834	8647	1708
835	8655	1697
836	8662	1686
837	8670	1676
838	8678	1665
839	8688	1654
840	8696	1644
841	8705	1633
842	8713	1622
843	8721	1611
844	8729	1601
845	8739	1590
846	8748	1580
847	8756	1569
848	8764	1558
849	8772	1548
850	8780	1537
851	8789	1526
852	8805	1517
853	8822	1508
854	8835	1498
855	8848	1488
856	8858	1478
857	8868	1467
858	8876	1457
859	8886	1446
860	8894	1435
861	8903	1425
862	8915	1415
863	8926	1405
864	8936	1394
865	8946	1384
866	8957	1374
867	8967	1363
868	8978	1353
869	8986	1342
870	8995	1332
871	9006	1321
872	9015	1311
873	9032	1302
874	9039	1291
875	9048	1280
876	9056	1270
877	9065	1259
878	9074	1249
879	9082	1238
880	9090	1227
881	9098	1217
882	9108	1206
883	9116	1196
884	9126	1185
885	9134	1175
886	9142	1164
887	9151	1154
888	9162	1144
889	9173	1133
890	9184	1123
891	9195	1113
892	9203	1102
893	9215	1092
894	9226	1082
895	9238	1072
896	9249	1062
897	9257	1051
898	9267	1041
899	9276	1030
900	9284	1020
901	9295	1009
902	9304	999
903	9315	989
904	9323	978
905	9333	968
906	9340	957
907	9347	947
908	9357	936
909	9365	926
910	9372	915
911	9380	905
912	9387	894
913	9396	884
914	9407	873
915	9414	863
916	9425	853
917	9432	842
918	9443	832
919	9451	821
920	9459	811
921	9469	801
922	9479	790
923	9491	780
924	9502	770
925	9511	760
926	9522	749
927	9531	739
928	9540	729
929	9550	718
930	9561	708
931	9571	698
932	9582	688
933	9590	677
934	9599	667
935	9609	657
936	9617	646
937	9625	636
938	9634	625
939	9641	615
940	9649	604
941	9659	594
942	9667	584
943	9674	573
944	9683	563
945	9691	553
946	9698	542
947	9706	532
948	9713	522
949	9725	511
950	9734	501
951	9743	491
952	9750	480
953	9760	470
954	9769	460
955	9779	450
956	9789	439
957	9799	429
958	9807	419
959	9815	408
960	9823	398
961	9831	388
962	9839	378
963	9849	367
964	9857	357
965	9865	347
966	9873	336
967	9881	326
968	9891	316
969	9901	306
970	9912	296
971	9921	285
972	9931	275
973	9939	265
974	9948	255
975	9958	244
976	9968	234
977	9975	224
978	9985	214
979	9996	204
980	10004	193
981	10012	183
982	10021	173
983	10029	163
984	10038	152
985	10045	142
986	10054	132
987	10062	122
988	10070	112
989	10077	101
990	10085	91
991	10092	81
992	10100	71
993	10108	61
994	10116	50
995	10124	40
996	10132	30
997	10139	20
998	10147	10
999	10155	0
